sale_id,customer_id,product_name,category,quantity,unit_price,total_amount,sale_date,payment_method
39,1044.0,Printer,Electronics,4,2540,10160,2025-02-22,NetBanking
40,1051.0,Laptop,Electronics,5,12964,64820,2025-05-03,UPI
41,1047.0,Monitor,Electronics,4,14230,56920,2025-05-18,Card
42,1065.0,Mouse,Accessories,3,14781,44343,2025-05-05,UPI
43,1051.0,Tablet,Electronics,4,5908,23632,2025-04-30,Card
44,1082.0,Laptop,Electronics,4,19895,79580,2025-05-25,UPI
45,1011.0,Headphones,Accessories,2,15628,31256,2025-02-16,UPI
46,1035.0,Headphones,Accessories,3,7435,22305,2025-04-27,Cash
47,1045.0,Headphones,Accessories,3,14313,42939,2025-03-06,UPI
48,1063.0,Laptop,Electronics,5,2206,11030,2025-03-31,Card
49,1086.0,Phone,Electronics,1,1516,1516,2025-03-05,Card
50,,Keyboard,Accessories,2,4636,9272,2025-05-02,UPI
51,1075.0,Mouse,Accessories,4,8896,35584,2025-04-05,Card
52,1080.0,Phone,Electronics,2,10692,21384,2025-01-28,UPI
53,1041.0,Headphones,Accessories,4,6998,27992,2025-01-20,Card
54,1014.0,Monitor,Electronics,5,4466,22330,2025-05-25,UPI
55,1046.0,Headphones,Accessories,3,2759,8277,2025-05-10,Cash
56,1002.0,Headphones,Accessories,4,3958,15832,2025-04-21,Cash
57,1084.0,Printer,Electronics,2,14770,29540,2025-02-15,Cash
58,1081.0,Printer,Electronics,4,14772,59088,2025-06-01,Cash
59,1043.0,Mouse,Accessories,1,9639,9639,2025-04-26,Card
60,1099.0,Printer,Electronics,5,12918,64590,2025-03-28,UPI
61,1066.0,Tablet,Electronics,2,16476,32952,2025-02-24,Cash
62,1035.0,Tablet,Electronics,3,9552,28656,2025-05-23,UPI
63,1069.0,Mouse,Accessories,1,8408,8408,2025-04-15,NetBanking
64,1074.0,Mouse,Accessories,4,16583,66332,2025-04-25,UPI
65,1012.0,Monitor,Electronics,2,13751,27502,2025-06-27,Card
66,1041.0,Tablet,Electronics,4,18636,74544,2025-05-16,Cash
67,1057.0,Tablet,Electronics,3,15368,46104,2025-03-11,Cash
68,1034.0,Mouse,Accessories,1,6810,6810,2025-03-22,UPI
69,1098.0,Keyboard,Accessories,2,7590,15180,2025-05-04,Cash
70,1095.0,Monitor,Electronics,1,6860,6860,2025-03-17,Card
71,1048.0,Keyboard,Accessories,3,963,2889,2025-05-17,Card
72,1037.0,Laptop,Electronics,1,18632,18632,2025-03-16,Card
73,1084.0,Printer,Electronics,1,901,901,2025-05-27,Cash
74,1063.0,Printer,Electronics,4,11664,46656,2025-02-17,UPI
75,1034.0,Printer,Electronics,1,2641,2641,2025-04-13,NetBanking
76,1010.0,Laptop,Electronics,2,5388,10776,2025-05-25,Cash
77,1011.0,Mouse,Accessories,1,18786,18786,2025-04-17,Card
78,1069.0,Headphones,Accessories,4,15007,60028,2025-03-18,NetBanking
79,1041.0,Laptop,Electronics,5,3751,18755,2025-02-23,Card
80,1035.0,Phone,Electronics,2,8359,16718,2025-02-14,UPI
81,1022.0,Laptop,Electronics,4,15262,61048,2025-06-26,NetBanking
82,1039.0,Laptop,Electronics,2,9940,19880,2025-06-30,Cash
83,1092.0,Printer,Electronics,1,8148,8148,2025-03-09,Card
84,1057.0,Phone,Electronics,5,7866,39330,2025-06-15,Card
85,1036.0,Keyboard,Accessories,1,2454,2454,2025-02-12,Cash
86,1079.0,Monitor,Electronics,4,4574,18296,2025-04-30,Cash
87,1092.0,Headphones,Accessories,3,16899,50697,2025-05-19,NetBanking
88,1059.0,Phone,Electronics,5,1806,9030,2025-04-21,Cash
89,1080.0,Monitor,Electronics,1,3492,3492,2025-02-28,UPI
90,1100.0,Monitor,Electronics,5,1818,9090,2025-02-14,NetBanking
91,1069.0,Printer,Electronics,3,6447,19341,2025-05-30,NetBanking
92,1084.0,Printer,Electronics,1,15901,15901,2025-03-31,NetBanking
93,1044.0,Tablet,Electronics,1,5769,5769,2025-03-26,NetBanking
94,1091.0,Printer,Electronics,3,13622,40866,2025-05-21,UPI
95,1061.0,Phone,Electronics,3,8770,26310,2025-03-24,UPI
96,1006.0,Headphones,Accessories,5,537,2685,2025-06-18,NetBanking
97,1054.0,Laptop,Electronics,2,17488,34976,2025-04-03,NetBanking
98,1083.0,Printer,Electronics,1,7170,7170,2025-03-10,Card
99,1038.0,Printer,Electronics,4,4478,17912,2025-01-08,Card
100,1093.0,Keyboard,Accessories,3,18549,55647,2025-01-04,NetBanking
101,1012.0,Mouse,Accessories,1,15620,15620,2025-01-31,Card
102,1066.0,Monitor,Electronics,5,9459,47295,2025-04-17,NetBanking
103,1063.0,Mouse,Accessories,4,18563,74252,2025-02-07,NetBanking
104,1026.0,Keyboard,Accessories,1,9552,9552,2025-04-17,Cash
105,1067.0,Monitor,Electronics,1,9768,9768,2025-03-18,NetBanking
106,1021.0,Printer,Electronics,5,16370,81850,2025-03-30,Cash
107,1073.0,Headphones,Accessories,4,11044,44176,2025-02-18,Card
108,1076.0,Headphones,Accessories,2,13960,27920,2025-01-12,Cash
109,1098.0,Printer,Electronics,4,13151,52604,2025-06-19,Card
110,1066.0,Laptop,Electronics,2,16959,33918,2025-06-01,Cash
111,1013.0,Printer,Electronics,1,17734,17734,2025-04-27,UPI
112,1095.0,Keyboard,Accessories,4,5558,22232,2025-01-20,NetBanking
113,1035.0,Tablet,Electronics,5,13524,67620,2025-06-16,UPI
114,1044.0,Headphones,Accessories,3,16489,49467,2025-05-19,UPI
115,1082.0,Phone,Electronics,2,9916,19832,2025-02-28,UPI
116,1058.0,Phone,Electronics,1,15038,15038,2025-02-12,Cash
117,1004.0,Laptop,Electronics,3,2338,7014,2025-03-17,Cash
118,1049.0,Headphones,Accessories,2,8501,17002,2025-05-16,NetBanking
119,1075.0,Keyboard,Accessories,2,6236,12472,2025-01-21,NetBanking
120,1082.0,Mouse,Accessories,4,19608,78432,2025-02-06,Card
121,1062.0,Monitor,Electronics,4,8866,35464,2025-06-20,UPI
122,1062.0,Monitor,Electronics,5,5676,28380,2025-01-19,NetBanking
123,1046.0,Monitor,Electronics,4,8695,34780,2025-04-27,Cash
124,1027.0,Headphones,Accessories,4,3994,15976,2025-03-02,NetBanking
125,1076.0,Tablet,Electronics,5,10195,50975,2025-06-29,Cash
126,1003.0,Headphones,Accessories,3,765,2295,2025-05-25,UPI
127,1080.0,Printer,Electronics,3,8040,24120,2025-06-05,Cash
128,1030.0,Mouse,Accessories,5,8712,43560,2025-06-23,Card
129,1083.0,Phone,Electronics,1,10623,10623,2025-04-23,UPI
130,1077.0,Tablet,Electronics,2,3453,6906,2025-03-17,Cash
131,1098.0,Headphones,Accessories,2,7079,14158,2025-02-03,Cash
132,1070.0,Monitor,Electronics,2,8920,17840,2025-05-04,Cash
133,1098.0,Tablet,Electronics,1,15846,15846,2025-01-20,Card
134,1099.0,Mouse,Accessories,4,18762,75048,2025-04-04,UPI
135,1052.0,Laptop,Electronics,3,18082,54246,2025-02-01,NetBanking
136,1049.0,Monitor,Electronics,5,12985,64925,2025-06-13,Cash
137,1014.0,Mouse,Accessories,4,1320,5280,2025-06-08,Cash
138,1081.0,Mouse,Accessories,1,15713,15713,2025-06-29,Cash
139,1086.0,Headphones,Accessories,1,5080,5080,2025-01-12,UPI
140,1040.0,Printer,Electronics,1,3684,-3684,2025-03-02,Card
141,1051.0,Printer,Electronics,3,18201,54603,2025-04-18,Card
142,1056.0,Phone,Electronics,4,13873,55492,2025-03-13,UPI
143,1091.0,Tablet,Electronics,2,15028,30056,2025-04-24,Card
144,1048.0,Phone,Electronics,3,18341,55023,2025-06-15,Cash
145,1008.0,Headphones,Accessories,3,6719,20157,2025-02-01,NetBanking
146,1012.0,Mouse,Accessories,5,1199,5995,2025-01-13,Cash
147,1033.0,Keyboard,Accessories,5,7224,36120,2025-01-18,Card
148,1078.0,Mouse,Accessories,2,11266,22532,2025-02-07,UPI
149,1037.0,Keyboard,Accessories,2,18201,36402,2025-03-06,Card
150,1016.0,Laptop,Electronics,2,986,1972,2025-04-02,Card
151,1078.0,Tablet,Electronics,1,6209,6209,2025-03-09,UPI
152,1018.0,Headphones,Accessories,5,4224,21120,2025-01-17,NetBanking
153,1060.0,Tablet,Electronics,5,19953,99765,2025-01-28,NetBanking
154,1067.0,Mouse,Accessories,5,1920,9600,2025-06-18,Cash
155,1061.0,Laptop,Electronics,1,16195,16195,2025-04-13,NetBanking
156,1090.0,Phone,Electronics,4,15034,60136,2025-01-19,UPI
157,1043.0,Keyboard,Accessories,1,4635,4635,2025-03-12,Cash
158,1050.0,Monitor,Electronics,4,17065,68260,2025-06-04,NetBanking
159,1013.0,Phone,Electronics,5,7545,37725,2025-04-21,NetBanking
160,1031.0,Headphones,Accessories,3,15360,46080,2025-04-13,NetBanking
161,1096.0,Phone,Electronics,3,14484,43452,2025-03-22,Cash
162,1049.0,Keyboard,Accessories,4,2699,10796,2025-01-24,UPI
163,1012.0,Headphones,Accessories,1,12710,12710,2025-02-03,UPI
164,1078.0,Tablet,Electronics,1,13961,13961,2025-04-01,NetBanking
165,1095.0,Laptop,Electronics,3,10738,32214,2025-04-01,UPI
166,1076.0,Mouse,Accessories,2,16300,32600,2025-02-27,UPI
167,1046.0,Tablet,Electronics,1,9628,9628,2025-05-27,Card
168,1057.0,Laptop,Electronics,5,9263,46315,2025-01-08,Card
169,1036.0,Monitor,Electronics,3,12002,36006,2025-01-02,Card
170,1020.0,Headphones,Accessories,1,5148,5148,2025-06-12,UPI
171,1012.0,Mouse,Accessories,4,14257,57028,2025-04-27,Cash
172,1022.0,Tablet,Electronics,3,11129,33387,2025-05-26,UPI
173,1007.0,Keyboard,Accessories,2,2130,4260,2025-06-22,UPI
174,1036.0,Printer,Electronics,4,16414,65656,2025-06-05,NetBanking
175,1056.0,Monitor,Electronics,2,17288,34576,2025-01-30,Cash
176,1058.0,Phone,Electronics,3,19935,59805,2025-05-05,Cash
177,1006.0,Mouse,Accessories,4,2295,9180,2025-01-02,Card
178,1040.0,Mouse,Accessories,2,8872,17744,2025-03-16,Cash
179,1017.0,Laptop,Electronics,4,14611,58444,2025-02-14,Card
180,1050.0,Mouse,Accessories,5,18808,94040,2025-06-21,Cash
181,1010.0,Headphones,Accessories,1,14794,14794,2025-01-05,NetBanking
182,1010.0,Tablet,Electronics,5,14566,72830,2025-05-27,NetBanking
183,1093.0,Headphones,Accessories,3,4274,12822,2025-04-14,UPI
184,1043.0,Keyboard,Accessories,5,15576,77880,2025-06-26,Cash
185,1012.0,Headphones,Accessories,1,8472,8472,2025-04-22,NetBanking
186,1070.0,Phone,Electronics,4,10667,42668,2025-03-28,Card
187,1044.0,Keyboard,Accessories,1,17227,17227,2025-06-12,UPI
188,1070.0,Mouse,Accessories,3,12004,36012,2025-06-15,Card
189,1032.0,Phone,Electronics,2,8887,17774,2025-02-20,Card
190,1080.0,Keyboard,Accessories,1,6304,6304,2025-06-10,NetBanking
191,1062.0,Printer,Electronics,5,11090,55450,2025-06-10,Cash
192,1021.0,Printer,Electronics,1,15865,15865,2025-04-24,Cash
193,1037.0,Laptop,Electronics,3,17124,51372,2025-01-19,Cash
194,1062.0,Printer,Electronics,1,2364,2364,2025-04-05,Cash
195,1010.0,Phone,Electronics,5,19966,99830,2025-05-10,NetBanking
196,1062.0,Laptop,Electronics,4,19232,76928,2025-06-16,Card
197,1043.0,Printer,Electronics,5,5443,27215,2025-01-16,NetBanking
198,1014.0,Tablet,Electronics,1,17033,17033,2025-06-15,Card
199,1006.0,Mouse,Accessories,4,14898,59592,2025-05-15,Card
200,1048.0,Tablet,Electronics,3,13194,39582,2025-04-15,Cash
201,1089.0,Laptop,Electronics,3,2659,7977,2025-03-26,UPI
202,1074.0,Headphones,Accessories,3,8757,26271,2025-06-18,Card
203,1044.0,Phone,Electronics,5,5134,25670,2025-03-31,Cash
204,1086.0,Headphones,Accessories,2,19998,39996,2025-01-22,Cash
205,1074.0,Headphones,Accessories,3,4687,14061,2025-06-21,UPI
206,1085.0,Headphones,Accessories,5,12356,61780,2025-01-05,Cash
207,1041.0,Keyboard,Accessories,2,11697,23394,2025-05-05,Card
208,1030.0,Keyboard,Accessories,2,3028,6056,2025-03-17,UPI
209,1067.0,Laptop,Electronics,3,4794,14382,2025-06-02,NetBanking
210,1021.0,Keyboard,Accessories,2,5924,11848,2025-04-23,UPI
211,1054.0,Tablet,Electronics,2,15055,30110,2025-06-06,Cash
212,1099.0,Printer,Electronics,2,17998,35996,2025-03-03,Cash
213,1063.0,Mouse,Accessories,3,19191,57573,2025-04-23,NetBanking
214,1006.0,Monitor,Electronics,4,16979,67916,2025-05-16,NetBanking
215,1022.0,Mouse,Accessories,5,5035,25175,2025-03-06,UPI
216,1085.0,Printer,Electronics,3,18671,56013,2025-01-27,UPI
217,1038.0,Phone,Electronics,2,9438,18876,2025-04-26,Card
218,1058.0,Phone,Electronics,2,15282,30564,2025-03-31,UPI
219,1056.0,Laptop,Electronics,4,16949,67796,2025-04-06,Card
220,,Phone,Electronics,3,7857,23571,2025-01-08,Cash
221,1013.0,Tablet,Electronics,2,5008,10016,2025-01-10,Cash
222,1063.0,Keyboard,Accessories,4,15199,60796,2025-06-07,UPI
223,1011.0,Laptop,Electronics,3,7566,22698,2025-02-08,NetBanking
224,1016.0,Monitor,Electronics,2,10368,20736,2025-02-01,UPI
225,1032.0,Headphones,Accessories,5,15478,77390,2025-01-17,UPI
226,1066.0,Laptop,Electronics,5,19343,96715,2025-03-03,Card
227,1039.0,Headphones,Accessories,1,12061,12061,2025-03-03,NetBanking
228,1025.0,Phone,Electronics,5,12316,61580,2025-01-18,UPI
229,1051.0,Printer,Electronics,1,13177,13177,2025-04-06,Cash
230,1098.0,Laptop,Electronics,3,2713,8139,2025-03-30,Card
231,1096.0,Phone,Electronics,5,11395,56975,2025-02-04,UPI
232,1047.0,Tablet,Electronics,2,15724,31448,2025-06-28,NetBanking
233,1083.0,Keyboard,Accessories,2,2567,5134,2025-04-28,UPI
234,1039.0,Mouse,Accessories,1,7036,7036,2025-01-11,Cash
235,1041.0,Headphones,Accessories,5,16012,80060,2025-03-06,UPI
236,1099.0,Mouse,Accessories,3,12197,36591,2025-01-13,Cash
237,1036.0,Phone,Electronics,3,14818,44454,2025-04-13,NetBanking
238,1051.0,Tablet,Electronics,2,16759,33518,2025-06-27,NetBanking
239,1049.0,Monitor,Electronics,1,14410,14410,2025-01-21,NetBanking
240,1080.0,Keyboard,Accessories,5,10126,50630,2025-03-24,UPI
241,1011.0,Tablet,Electronics,3,10543,31629,2025-04-25,NetBanking
242,1023.0,Printer,Electronics,3,15151,45453,2025-01-11,Cash
243,1081.0,Headphones,Accessories,3,2379,7137,2025-01-20,NetBanking
244,1048.0,Keyboard,Accessories,1,5178,5178,2025-06-05,NetBanking
245,1005.0,Keyboard,Accessories,1,8233,8233,2025-06-15,Cash
246,1048.0,Headphones,Accessories,5,1561,7805,2025-06-04,Card
247,1089.0,Printer,Electronics,3,12690,38070,2025-04-24,UPI
248,1076.0,Keyboard,Accessories,5,12524,62620,2025-04-12,Cash
249,1086.0,Monitor,Electronics,2,4217,8434,2025-01-07,Card
250,1066.0,Headphones,Accessories,5,4358,21790,2025-03-09,Cash
251,1093.0,Printer,Electronics,2,9857,19714,2025-06-27,NetBanking
252,1027.0,Phone,Electronics,2,2926,5852,2025-04-26,Card
253,1094.0,Printer,Electronics,1,10972,10972,2025-06-20,Cash
254,1093.0,Phone,Electronics,5,18265,91325,2025-03-16,Cash
255,1022.0,Keyboard,Accessories,3,17170,51510,2025-02-27,UPI
256,1027.0,Keyboard,Accessories,2,16688,33376,2025-01-07,Cash
257,1073.0,Tablet,Electronics,4,18576,74304,2025-02-03,UPI
258,1009.0,Monitor,Electronics,4,16184,64736,2025-05-15,NetBanking
259,1006.0,Headphones,Accessories,5,2916,14580,2025-02-02,Cash
260,1085.0,Phone,Electronics,4,15764,63056,2025-06-24,Cash
261,1018.0,Keyboard,Accessories,2,14676,29352,2025-05-09,UPI
262,1017.0,Keyboard,Accessories,3,5895,17685,2025-02-11,Cash
263,1093.0,Mouse,Accessories,3,17503,52509,2025-03-14,UPI
264,1034.0,Mouse,Accessories,5,9493,47465,2025-02-02,Cash
265,1081.0,Phone,Electronics,5,6025,30125,2025-06-01,Card
266,1023.0,Tablet,Electronics,5,1849,9245,2025-01-08,UPI
267,1006.0,Monitor,Electronics,2,19247,38494,2025-04-17,UPI
268,1066.0,Monitor,Electronics,3,16325,48975,2025-03-04,NetBanking
269,1040.0,Printer,Electronics,1,2463,2463,2025-02-10,NetBanking
270,1056.0,Printer,Electronics,4,7185,28740,2025-03-29,Card
271,1042.0,Tablet,Electronics,3,13565,40695,2025-02-03,Cash
272,1068.0,Phone,Electronics,3,8421,25263,2025-04-30,UPI
273,1036.0,Printer,Electronics,2,5116,10232,2025-01-25,UPI
274,1039.0,Headphones,Accessories,5,14201,71005,2025-03-05,Card
275,1043.0,Tablet,Electronics,2,5721,11442,2025-05-08,NetBanking
276,1066.0,Monitor,Electronics,4,1259,5036,2025-01-24,NetBanking
277,1067.0,Printer,Electronics,2,7549,15098,2025-05-30,Cash
278,1007.0,Laptop,Electronics,3,16716,50148,2025-06-02,NetBanking
279,1038.0,Laptop,Electronics,1,14620,14620,2025-02-04,Cash
280,1096.0,Tablet,Electronics,4,12491,49964,2025-01-12,NetBanking
281,1007.0,Mouse,Accessories,3,18628,55884,2025-03-15,UPI
282,1051.0,Printer,Electronics,5,9665,48325,2025-06-09,UPI
283,1018.0,Phone,Electronics,4,12728,50912,2025-03-28,Cash
284,1099.0,Keyboard,Accessories,2,17182,34364,2025-04-13,UPI
285,1006.0,Laptop,Electronics,2,11413,22826,2025-05-02,NetBanking
286,1021.0,Keyboard,Accessories,3,10937,32811,2025-02-11,NetBanking
287,1081.0,Monitor,Electronics,5,11522,57610,2025-05-10,NetBanking
288,1093.0,Monitor,Electronics,4,1045,4180,2025-04-05,Cash
289,1089.0,Phone,Electronics,4,19626,78504,2025-03-20,UPI
290,1079.0,Printer,Electronics,3,19455,58365,2025-05-28,Card
291,1095.0,Laptop,Electronics,5,16243,81215,2025-02-13,NetBanking
292,1020.0,Mouse,Accessories,1,19261,19261,2025-06-29,UPI
293,1026.0,Laptop,Electronics,4,10779,43116,2025-04-18,Card
294,1054.0,Mouse,Accessories,4,16943,67772,2025-06-06,NetBanking
295,1097.0,Laptop,Electronics,2,17496,34992,2025-02-23,Cash
296,1087.0,Printer,Electronics,5,12847,64235,2025-03-22,Card
297,1061.0,Tablet,Electronics,5,12109,60545,2025-06-23,Cash
298,1081.0,Printer,Electronics,2,8577,17154,2025-03-13,Cash
299,1030.0,Monitor,Electronics,3,7292,21876,2025-06-26,NetBanking
300,1042.0,Printer,Electronics,3,18866,56598,2025-03-12,Cash
301,1017.0,Headphones,Accessories,4,11809,47236,2025-02-07,Cash
302,1006.0,Monitor,Electronics,1,11849,11849,2025-04-24,Cash
303,1098.0,Printer,Electronics,2,7121,14242,2025-05-18,Cash
304,1074.0,Monitor,Electronics,2,4079,8158,2025-06-07,Card
305,1033.0,Laptop,Electronics,5,7894,39470,2025-06-13,Card
306,1007.0,Phone,Electronics,4,11323,45292,2025-05-01,UPI
307,1090.0,Keyboard,Accessories,1,18533,18533,2025-02-10,NetBanking
308,1086.0,Printer,Electronics,4,7035,28140,2025-03-15,Cash
309,1038.0,Laptop,Electronics,1,19313,19313,2025-03-01,UPI
310,1024.0,Headphones,Accessories,2,1690,3380,2025-04-12,NetBanking
311,1025.0,Monitor,Electronics,1,803,803,2025-03-18,UPI
312,1044.0,Monitor,Electronics,4,18302,73208,2025-05-15,NetBanking
313,1019.0,Printer,Electronics,3,6818,20454,2025-01-29,Cash
314,1022.0,Printer,Electronics,3,6601,19803,2025-01-04,Cash
315,1039.0,Mouse,Accessories,2,13787,27574,2025-04-20,Cash
316,1012.0,Headphones,Accessories,1,6554,6554,2025-02-05,NetBanking
317,1043.0,Mouse,Accessories,1,9045,9045,2025-04-09,Card
318,1060.0,Monitor,Electronics,3,10394,31182,2025-05-30,UPI
319,1035.0,Tablet,Electronics,2,2535,5070,2025-06-20,UPI
320,1062.0,Monitor,Electronics,2,13784,27568,2025-06-25,Cash
321,1091.0,Phone,Electronics,3,12543,37629,2025-06-07,Card
322,1030.0,Keyboard,Accessories,4,5519,22076,2025-04-27,Cash
323,1056.0,Printer,Electronics,5,7656,38280,2025-03-05,UPI
324,1070.0,Printer,Electronics,5,12354,61770,2025-01-20,UPI
325,1008.0,Mouse,Accessories,5,18085,90425,2025-02-08,Card
326,1043.0,Printer,Electronics,1,7230,7230,2025-05-30,NetBanking
327,1012.0,Printer,Electronics,1,15358,15358,2025-02-03,NetBanking
328,1061.0,Laptop,Electronics,5,15651,78255,2025-06-22,Cash
329,1095.0,Laptop,Electronics,4,8838,35352,2025-01-01,Card
330,1077.0,Phone,Electronics,1,14383,14383,2025-03-30,UPI
331,1072.0,Laptop,Electronics,1,15968,15968,2025-01-09,Cash
332,1054.0,Keyboard,Accessories,2,14274,28548,2025-04-06,NetBanking
333,1060.0,Headphones,Accessories,4,3129,12516,2025-06-24,Card
334,1086.0,Tablet,Electronics,1,6348,6348,2025-05-18,NetBanking
335,1070.0,Keyboard,Accessories,2,613,1226,2025-01-06,Cash
336,1062.0,Headphones,Accessories,5,12928,64640,2025-02-28,Card
337,1061.0,Tablet,Electronics,2,9532,19064,2025-02-18,UPI
338,1005.0,Headphones,Accessories,5,1012,5060,2025-03-03,Card
339,1009.0,Phone,Electronics,5,1600,8000,2025-04-25,UPI
340,1033.0,Laptop,Electronics,4,14883,59532,2025-03-01,Card
341,1099.0,Laptop,Electronics,2,17011,34022,2025-03-16,Card
342,1096.0,Tablet,Electronics,5,11007,55035,2025-03-02,Cash
343,1020.0,Mouse,Accessories,4,10346,41384,2025-03-12,UPI
344,1074.0,Keyboard,Accessories,4,18714,74856,2025-05-07,UPI
345,1046.0,Headphones,Accessories,5,10944,54720,2025-06-28,NetBanking
346,1054.0,Keyboard,Accessories,3,12835,38505,2025-02-17,NetBanking
347,1032.0,Mouse,Accessories,3,5230,15690,2025-04-29,UPI
348,1074.0,Headphones,Accessories,4,18761,75044,2025-05-16,Card
349,1051.0,Mouse,Accessories,3,7162,21486,2025-03-26,UPI
350,1060.0,Tablet,Electronics,1,18051,18051,2025-02-18,UPI
351,1036.0,Headphones,Accessories,5,1795,8975,2025-01-19,Card
352,1100.0,Mouse,Accessories,4,7344,29376,2025-03-27,Cash
353,1002.0,Mouse,Accessories,2,4344,8688,2025-05-03,Card
354,1092.0,Mouse,Accessories,4,8342,33368,2025-05-22,Cash
355,1038.0,Headphones,Accessories,4,17986,71944,2025-06-16,Cash
356,1041.0,Monitor,Electronics,3,17303,51909,2025-05-08,NetBanking
357,1013.0,Printer,Electronics,3,7156,21468,2025-04-05,Cash
358,1054.0,Laptop,Electronics,5,7750,38750,2025-02-07,UPI
359,1035.0,Headphones,Accessories,3,5494,16482,2025-02-20,Cash
360,1031.0,Headphones,Accessories,5,8552,42760,2025-05-08,Cash
361,1034.0,Printer,Electronics,4,15600,62400,2025-02-13,Cash
362,1023.0,Keyboard,Accessories,5,16501,82505,2025-02-17,UPI
363,1070.0,Laptop,Electronics,1,2089,2089,2025-01-02,NetBanking
364,1019.0,Mouse,Accessories,1,5448,5448,2025-01-03,Card
365,1067.0,Printer,Electronics,3,2480,7440,2025-06-08,NetBanking
366,1087.0,Printer,Electronics,1,716,716,2025-05-17,NetBanking
367,1002.0,Laptop,Electronics,5,9502,47510,2025-05-18,Cash
368,1003.0,Headphones,Accessories,2,4006,8012,2025-01-25,Card
369,1032.0,Mouse,Accessories,5,17750,88750,2025-03-06,Cash
370,1036.0,Headphones,Accessories,1,12724,12724,2025-04-14,NetBanking
371,1075.0,Mouse,Accessories,2,10329,20658,2025-06-25,UPI
372,1086.0,Laptop,Electronics,1,13780,13780,2025-04-08,NetBanking
373,1073.0,Printer,Electronics,1,809,809,2025-06-29,Card
374,1011.0,Printer,Electronics,4,11355,45420,2025-05-25,UPI
375,1070.0,Laptop,Electronics,2,7427,14854,2025-06-27,NetBanking
376,1036.0,Laptop,Electronics,1,9687,9687,2025-05-20,UPI
377,1024.0,Tablet,Electronics,1,7288,7288,2025-05-31,Card
378,1099.0,Headphones,Accessories,1,10306,10306,2025-02-11,Card
379,1075.0,Headphones,Accessories,5,11370,56850,2025-04-09,Card
380,1091.0,Phone,Electronics,5,11833,59165,2025-01-14,UPI
381,1058.0,Mouse,Accessories,1,11660,11660,2025-06-04,NetBanking
382,1043.0,Laptop,Electronics,3,15263,45789,2025-05-06,Card
383,1047.0,Headphones,Accessories,4,6586,26344,2025-06-24,NetBanking
384,1011.0,Monitor,Electronics,2,2908,5816,2025-01-22,Cash
385,1021.0,Headphones,Accessories,2,13267,26534,2025-03-23,Cash
